Name,Tags
telinit,关闭系统
ls -a,
mkdir -p,创建目录树
"mv ",兼具重命名的功能
netstat -an,显示所有端口
yum list,显示所有已经安装的rpm包
rpm -ivh package_path,"安装rpm包
h 显示进度条
v verbose 显示详细过程"
rpm -uvh package_path,更新包
rpm -e package_name,删除rpm包
rpm -ivh package_path —replacepkgs,重新安装包
rpm -qf /usr/bin/ls,查看某个命令的安装包
rpm -f,更新一个已经确定更新的rpm包
rpm -qa,显示所有已经安装的rpm包
rpm -ql package_name,软件包生成的所有文件
rpm -qi packagename,软件包相关信息
rpm -qc package_name,软件包产生的配置文件
rpm -qp,查找所有为安装的软件包
ifup ens33,启动网卡
ifdown ens33,停止网卡
ifconfig ens33 192.168.11.2 netmask 255.255.255.0,配置静态IP
route -n,显示路由比表
host www.baidu.com,解析域名
nslookup www.baidu.com,解析域名
ip link,显示网卡状态
route add -net 192.168.1.0 netmask 255.255.255.0 gw 192.168.1.1,添加静态路由
route add -net 0/0 gw getway_ip,添加默认路由
mount -t fuse.vmhgfs-fuse .host:/共享文件夹名 /mnt/share -o allow_other,挂在共享文件夹，需先在虚拟机管理器中添加共享文件夹路径
"vi /etc/fstab
.host:/共享文件夹名 /mnt/share fuse.vmhgfs-fuse allow_other 0 0 ","//在文件中添加这一行
默认挂载在/mnt/hgfs"
netmask -c 192.168.2.4,解析子网掩码
netmask -s 192.134.45.4,解析子网掩码
esc .,调用上一个命令的参数
ls -lh a.txt,人类可读 -h
ls -d,仅列出文件本身
文件类型,"-：普通文件
d：目录
c：字符设备文件 终端，键盘 有顺序的
b：块设备文件 磁盘文件光盘 随机的
l：符号链接文件
p：管道文件
s：套接字文件 进程之间通信的文件"
cat -e a.txt,显示特殊字符，显示行结尾标志
tac,反向显示
nl a.txt,显示行号查看文件内容
less,"p 上翻
/ 查找 N上翻 n下翻"
"head -n a.txt
head -3 a.txt",读头n行
cat -n a.txt | head -3 | tail -1,读取第三行
tail -f  a.txt,实时显示当前文档的内容
type 命令,查看命令的类型，内部命令或者外部命令
help 内部命令,
外部命令 —help,
"文件的元数据 ",权限数据 时间数据等
stat a.txt,查看文件的时间元数据
"mkdir g/{a,b,c,d} -pv",在g目录创建多个子目录
ip addr add/delete 192.168.12.23/prefix dev ens33,
ifconfig ens33 192.168.12.45 netmask 255.255.255.0,
ls | wc -l,"计量行数
wc -m //计算字符数
wc -c //计算字节数"
traceroute ipadd(http://www.baidu.com/),跟踪路由表
nmap -sP 192.168.10.2-45,探测主机是否在线，范围探测
nmap -sP 192.168.10.0/24,探测主机是否在线 ，探测网段
nmap -sP 192.168.10.2 192.168.23.45,探测主机是否在线，探测多个
netdiscover -r 192.168.10.0/24,探测主机是否在线
netdiscover -p,通过被动模式探测主机是否在线
namp --script broadcast-dhcp-discover,探测dhcp服务器
whois http://baidu.com/,域名解析
dmitry -w http://baidu.com/,域名解析
dmitry -s http://baidu.com/ -o filename,子域名解析，输出到文件
jobs,显示所有正在运行的程序
fg,将后台程序掉到前台
bg,
ctrl+z,将进程暂停并切换到后台
"api ",应用程序编程接口，用户调用某个功能的接口，如函数等
abi,应用程序二进制接口，应用程序使用系统调用的接口
"history "," 历史命令"
"history -c ",清空历史命令
!1,调用第一条历史命令
!his,调用！后面字符匹配的命令
date +%F %H-%M-%S,
a=$(ls /tmp),将命令的执行结果保存到变量
,
"clock ",获取当前硬件时间
[[:lower:]],所有小写字母
[[:upper:]],所有大写字母
[[:alpha:]],
[[:alnum:]],
[[:digit:]],
nmap -sV ipaddr,服务发现
changeme -a ipdddr,弱密码发现
"pwd -P ",如果当前目录是一个连结档，则返回被连接的文件所在目录
mkdir -m 771 a,创建目录并赋予权限
who,
w,
whoami,
"useradd armandhe -u 1010 -g 1010  -c ""描述信息""  -s /usr/bin/zsh -d /home/armandhe","使用组id需确保组存在
-s 指定用户使用shell类型
-d 指定用户家目录"
"useradd -u 24 -r hjx -s /sbin/nologin -M ","创建系统用户
不创建家目录"
"uid 1-1000 系统用户
1000及以上登录用户",
"userdel -r ",删除家目录
usermod,-G 指定附加组
groups,显示当前用户所属组-基本组与附加组
newgrp groupname,切换组
$RANDOM,生成随机数
用户密码文件格式,：用户名、密码（MD5）、最后一次修改密码的时间（从1970.1.1开始的天数）、密码修改最小间隔天数、必须修改密码天数、提醒修改密码天数、密码过期天数、账户过期天数（从1970.1.1开始的天数）
"passwd ","-l 锁定用户
-u 解锁
—standin"
gpasswd  option groupname,修改组密码
apachectl configtest,"测试配置文件语法
graceful //不中断服务重启
restart
status
start
stop"
nohup ls $,使命令脱离当前shell到后台继续执行
fg %1,%后面跟job号
ssh-keygen -t rsa,"-t 指定加密方式
-f 指定私钥文件名
-n 指定生成的私钥密码
-p 修改私钥的密码
-b 指定密钥的二进制位数
-c 指定密钥文件的注释
"
ssh-copy-id -i id_rsa.pub username@ipadd,将公钥拷贝到要登陆的目标主机的authorized_key文件中
eval,"该命令用于重新扫描计算参数的运行结果
如
ls >> a.txt
l=""cat a.txt""
eval $l
显示结果与cat a.txt的结果一致"
,
nmap -iL,
nmap -iR,
nmap -exclude,排除的ip
nmap -excludefile,从文件中读排除的ip
nmap -sP,ping扫描i
nmap -sL,列表扫描，不晓得啥意思
nmap -P0,跳过主机发现，对每一个ip进行完整扫描
nmap -PS,发送syn报文扫描
nmap -PA,"发送ack报文ping,尝试i建立连接，但连接未建立，目标主机会回一个rst报文"
nmap -PU,udpping
nmap -n,不进行反向域名解析
namp -R,进行反向域名解析
"nmap -sS ",syn端口扫描
nmap -sU,udp端口扫描
nmap -sT,
namp -sN,null扫描
nmap -sP,
nmap -sV,版本探测
nmap -sA,ack扫描
nmap -sW,tcp窗口扫描
-p,指定端口
-r,顺序扫描端口
,
